Measuring;Fastest;Slowest;Average;Median
10;2.959012985229492;8.344411849975586;6.02297306060791;6.106376647949219
20;2.920389175415039;8.171319961547852;5.803091526031494;6.11114501953125
50;2.6030540466308594;8.250236511230469;5.315039157867432;5.932211875915527
100;2.4535655975341797;4.699945449829102;2.903538942337036;2.8662681579589844
150;2.4318695068359375;4.558086395263672;2.9510247707366943;2.9015541076660156
200;4.116296768188477;10.735750198364258;6.6482555866241455;6.780743598937988
500;3.6971569061279297;6.509542465209961;4.328374862670898;4.119396209716797
1000;6.152868270874023;10.240316390991211;7.052816152572632;6.876468658447266
2000;9.769916534423828;22.825956344604492;14.025818109512329;14.113426208496094
5000;10.85972785949707;232.51748085021973;52.53412127494812;39.20912742614746
10000;32.51457214355469;492.98954010009766;144.83134031295776;129.2363405227661
