Measuring;Fastest;Slowest;Average;Median
10;2.8536319732666016;8.044719696044922;5.938067436218262;6.130814552307129
20;2.719879150390625;7.811307907104492;5.595723390579224;5.901813507080078
50;2.680063247680664;7.7762603759765625;5.416655540466309;5.918025970458984
100;2.363920211791992;4.24647331237793;2.8678500652313232;2.7997493743896484
150;2.471923828125;4.580259323120117;2.8588569164276123;2.8176307678222656
200;2.8510093688964844;5.948781967163086;3.326237201690674;3.060579299926758
500;3.8886070251464844;6.47735595703125;4.415792226791382;4.22513484954834
1000;6.168127059936523;11.388540267944336;7.541874647140503;7.429242134094238
2000;9.01341438293457;26.210784912109375;14.182729721069336;14.170169830322266
5000;11.400461196899414;172.14202880859375;44.95131731033325;37.136197090148926
10000;18.04971694946289;446.57421112060547;94.2855179309845;81.00831508636475
