Measuring;Fastest;Slowest;Average;Median
10;2.6311874389648438;8.056879043579102;5.266852378845215;5.438089370727539
20;2.7718544006347656;7.864952087402344;5.4649412631988525;5.789637565612793
50;2.6443004608154297;7.236242294311523;5.255756378173828;5.626201629638672
100;2.1915435791015625;4.0721893310546875;2.5265538692474365;2.469658851623535
150;2.2780895233154297;4.147529602050781;2.645864486694336;2.5064945220947266
200;2.9914379119873047;7.045269012451172;3.8379979133605957;3.750324249267578
500;3.5316944122314453;9.147405624389648;4.031813144683838;3.8558244705200195
1000;4.506349563598633;10.918617248535156;6.613724231719971;6.490111351013184
2000;6.965398788452148;24.536848068237305;12.737035751342773;12.717008590698242
5000;9.501218795776367;207.10325241088867;33.20478081703186;23.478269577026367
10000;30.340194702148438;646.9554901123047;145.4376769065857;126.6634464263916
